doctor,doctor,don,time,eye,finale,days,season,getglue,love,x,marketing,social,according,countdown,media,unlocked,advice,day,sticker,office,re,hate,im,watching,type,lol,told,beyonce,oh,call
,1604,75,56,52,52,47,47,46,45,44,41,41,40,40,40,40,39,39,38,37,37,35,35,35,33,31,30,28,28,27
medical,medical,choice,jolie,angelina,center,story,f,x,top,jobs,care,help,marijuana,type,via,health,research,a,angelinajolie,people,re,school,services,student,cancer,don,e,hospital,life,z
,544,110,53,49,28,27,24,24,21,20,18,18,18,17,15,14,13,12,11,11,11,11,11,11,10,10,10,10,10,10
hospital,hospital,day,home,x,type,lol,time,mom,ve,bed,lt,don,people,children,im,left,nurchat,shit,dad,post,tomorrow,f,night,hate,love,baby,days,getting,patients,please
,956,47,42,37,30,29,29,26,25,24,24,23,22,20,20,20,20,20,19,18,18,17,17,16,16,14,14,14,14,14
