02
2
2moro
2nite
4
&amp
&gt
&lt3
&lt
a
abaft
aboard
about
above
absent
across
afore
after
against
all
along
alongside
also
amid
amidst
among
amongst
an
and
anenst
apropos
apud
are
around
as
aside
astride
at
athwart
atop
b4n
barring
bcnu
be
before
behind
below
beneath
beside
besides
between
beyond
bff
brb
btw
but
by
can
circa
concerning
cya
dbeyr
despite
dilligas
do
down
during
except
excluding
failing
following
for
forenenst
from
ftw
fud
fwiw
get
given
got
gr8
had
have
he
her
hes
him
his
how
i
if
ily
im
imho
imo
in
including
inside
into
irl
is
iso
it
its
ive
jk
just
l8r
lest
like
lmao
lol
lylas
may
me
mhoty
mid
midst
minus
modulo
more
my
near
near 
next
nigh
nimby
no
notwithstanding
np
nub
of
off
oic
omfg
omg
on
onto
opposite
or
ot
out
outside
over
pace
past
per
plus
pov
pro
qua
r
rbtl
regarding
rotflmao
round
rt
rtfm
rtm 
sans
save
sh
she
since
sitd
so
sol
stby
stfu
swak
teh
tfh
than
that
the
this
thks
through
throughout
thru
thruout
thx
till
times
tlc
tmi
to
toward
towards
ttyl
tyvm
u
under
underneath
unlike
until
unto
up
upon
v
vbg
versus
via
vice
vs
w
was
weg
what
why
with
within
without
woot
worth
wtf
wywh
xoxo
y
yes
you
your
youre
yur
