Keyword1,Keyword2,Times,Percentage in Keyword1,Percentage in Keyword2
kermit,murder,124,0.21,0.35
jolie,medical,359,0.63,0.05
jolie,mastectomy,104,0.18,0.51
baby,hospital,274,0.5,0.02
baby,doctor,256,0.47,0.01
news,prison,149,0.27,0.12
news,via,132,0.24,0.19
penalty,spared,152,0.29,0.54
penalty,philadelphia,152,0.29,0.25
hate,hospital,179,0.35,0.01
pa,prison,369,0.75,0.31
feel,hospital,148,0.33,0.01
center,medical,415,0.94,0.06
childrens,day,188,0.43,0.16
childrens,hospital,428,0.97,0.03
call,doctor,311,0.72,0.02
care,hospital,163,0.38,0.01
care,medical,192,0.45,0.03
health,hospital,150,0.35,0.01
health,medical,193,0.45,0.03
bad,hospital,182,0.43,0.01
bad,doctor,209,0.5,0.01
gonna,hospital,195,0.47,0.01
getting,hospital,152,0.37,0.01
help,hospital,110,0.28,0.01
help,medical,135,0.34,0.02
hope,hospital,194,0.51,0.01
murder,prison,180,0.5,0.15
fuck,hospital,149,0.42,0.01
babies,death,125,0.36,0.13
babies,kermit,152,0.43,0.26
babies,gosnell,153,0.44,0.23
babies,killing,195,0.56,0.7
babies,convicted,197,0.56,0.16
babies,life,101,0.29,0.06
babies,doctor,331,0.95,0.02
left,student,110,0.33,0.52
fucking,hospital,142,0.45,0.01
story,top,139,0.45,0.52
ass,hospital,167,0.55,0.01
ass,doctor,114,0.38,0.01
dad,hospital,194,0.67,0.01
cause,hospital,124,0.44,0.01
cause,doctor,126,0.45,0.01
haha,hospital,108,0.41,0.01
bitch,doctor,135,0.54,0.01
appeal,kermit,108,0.44,0.18
appeal,gosnell,122,0.49,0.18
appeal,doctor,221,0.89,0.01
appeal,convicted,175,0.71,0.15
appeal,death,137,0.55,0.15
sentence,spared,110,0.44,0.39
damn,hospital,114,0.47,0.01
damn,doctor,105,0.43,0.01
head,hospital,100,0.42,0.01
deal,death,108,0.48,0.11
deal,doctor,177,0.79,0.01
jolies,medical,128,0.59,0.02
double,jolie,104,0.51,0.18
double,mastectomy,163,0.8,0.8
avoids,death,200,0.99,0.21
avoids,doctor,201,1,0.01
pennsylvania,prison,135,0.7,0.11
car,hospital,140,0.73,0.01
cancels,doctors,148,0.8,0.11
liked,video,160,0.88,0.45
friend,hospital,106,0.61,0.01
da,hospital,105,0.64,0.01
grandma,hospital,103,0.72,0.01
native,qualified,123,0.88,0.88
native,study,123,0.88,0.53
qualified,study,110,0.79,0.47
beyonce,cancels,116,0.97,0.63
belgium,beyonce,112,0.97,0.94
belgium,cancels,105,0.91,0.57
ap,doctor,116,1.02,0.01
fox,news,111,0.98,0.2
postit,student,109,0.96,0.52
asu,student,102,1.02,0.49
