abdomin
acanth
adip
amni
aniso
arteri
articul
atel
ather
aux
axill
balano
blephar
brachi
brachy
bronch
capill
carcin
cephal
cerat
cerebell
cerebr
cervic
cholecyst
chondro
cili
colp
cordi
cornu
crani
cutane
cyan
cyt
dacryo
dactyl
dextr
dromo
duodeno
encephal
eosin
episi
erythr
esthesio
galact
gastr
gingiv
glauc
gluco
glyco
gnath
halluc
hemo
hemangi
hemangio
heter
hidr
humer
iatr
ileo
ipsi
irid
isch
ischio
karyo
kerat
koil
kyph
labi
lacrim
lapar
laryng
latero
lept
lymph
mammill
mening
mero
myel
myri
myring
myx
necr
nephr
normo
ocul
odont
odyn
olig
omphal
onco
onych
oophor
ophthalm
orth
osseo
ossi
ovari
oxo
pachy
palpebr
papill
papul
parvo
pauci
phallo
pharmaco
pharyng
phleb
phos
phyt
piri
pleio
pneum
pneumat
polio
porphyr
presby
proct
prosop
pterygo
psor
pyel
pykno
pyo
reticul
rhabd
rhachi
rubr
salping
sarco
schist
schiz
scler
scoli
scoto
sial
sigmoid
sinistr
sinus
sito
spasmo
spondyl
squamos
steth
stheno
stomat
supra
tachy
tetan
thely
therap
thromb
thyr
thym
toco
tono
trache
trachel
tympan
umbilic
ungui
uter
varic
vasculo
ventr
ventricul
vesic
viscer
xanth
zym
