cancer,448424
via,348709
help,318513
please,310731
new,287388
disease,203280
get,190172
awareness,182015
may,168792
people,164456
online,159156
day,157216
today,155779
know,152897
us,152828
heart,150802
therapy,150776
..,128973
risk,127847
one,125989
support,122674
retweet,121891
like,121351
could,118789
health,118125
2,115200
skype,114542
treatment,114060
need,108265
prevent,104743
research,103361
study,103042
best,102574
great,100455
patients,99390
life,99356
learn,98476
news,95790
i'm,93229
time,91563
free,89550
good,88349
way,88224
find,86293
4,85806
women,85710
check,85494
don't,84040
join,81102
read,80496
make,79492
see,77348
someone,76852
fight,75279
keep,75154
blog,74585
talk,70846
thanks,70150
email,69891
care,69663
go,68441
raise,68083
love,68041
take,68020
1,68012
pain,67627
“,66338
dr,65926
video,65169
share,63617
story,63332
thank,63231
back,61747
children,61050
brain,61020
schedule,60622
might,60206
many,57901
first,57595
month,57312
symptoms,57205
living,57196
test,56470
cause,56422
contact,56379
year,56030
work,55572
world,55510
want,55287
testing,54140
use,54073
”,53086
pls,53065
3,52865
breast,52710
would,52621
effective,52448
hope,52372
cure,52236
better,52195
much,51838
