acusis
aemia
asthenia
cele
centesis
cyte
desis
dipsia
dynia
ectomy
emesis
emia
gnosis
iasis
iatry
ismus
itis
malacia
osis
paresis
penia
pepsia
pexy
phago
phagy
plasia
plasty
plegia
plexy
poiesis
ptosis
ptysis
rrhage
rrhagia
rrhaphy
rrhea
rrhexis
rrhoea
sclerosis
scopy
spadias
stasis
staxis
stenosis
stomy
tripsy
trophy
