"city","state","zipcode","areacode","FIPS","County","PrefApprovedNot","Type"
"APO","AE","09713","000","00000",,"P","M"
"APO","AE","09714","000","00000",,"P","M"
"APO","AE","09717","000","00000",,"P","M"
"APO","AE","09719","000","00000",,"P","M"
"APO","AE","09720","000","00000",,"P","M"
"APO","AE","09722","000","00000",,"P","M"
"APO","AE","09724","000","00000",,"P","M"
"APO","AE","09725","000","00000",,"P","M"
"APO","AE","09732","000","00000",,"P","M"
"APO","AE","09735","000","00000",,"P","M"
"APO","AE","09743","000","00000",,"P","M"
"APO","AE","09745","000","00000",,"P","M"
"APO","AE","09749","000","00000",,"P","M"
"APO","AE","09751","000","00000",,"P","M"
"APO","AE","09752","000","00000",,"P","M"
"APO","AE","09754","000","00000",,"P","M"
"APO","AE","09755","000","00000",,"P","M"
"APO","AE","09756","000","00000",,"P","M"
"APO","AE","09760","000","00000",,"P","M"
"APO","AE","09780","000","00000",,"P","M"
"APO","AE","09801","000","00000",,"P","M"
"APO","AE","09802","000","00000",,"P","M"
"APO","AE","09803","000","00000",,"P","M"
"APO","AE","09804","000","00000",,"P","M"
"APO","AE","09810","000","00000",,"P","M"
"APO","AE","09818","000","00000",,"P","M"
"APO","AE","09821","000","00000",,"P","M"
"APO","AE","09822","000","00000",,"P","M"
"APO","AE","09824","000","00000",,"P","M"
"APO","AE","09829","000","00000",,"P","M"
"APO","AE","09832","000","00000",,"P","M"
"APO","AE","09833","000","00000",,"P","M"
"APO","AE","09839","000","00000",,"P","M"
"APO","AE","09848","000","00000",,"P","M"
"APO","AE","09852","000","00000",,"P","M"
"APO","AE","09853","000","00000",,"P","M"
"APO","AE","09855","000","00000",,"P","M"
"APO","AE","09858","000","00000",,"P","M"
"APO","AE","09861","000","00000",,"P","M"
"APO","AE","09868","000","00000",,"P","M"
"APO","AE","09880","000","00000",,"P","M"
"APO","AE","09890","000","00000",,"P","M"
"APO","AE","09898","000","00000",,"P","M"
"APO","AP","96201","000","00000",,"P","M"
"APO","AP","96202","000","00000",,"P","M"
"APO","AP","96203","000","00000",,"P","M"
"APO","AP","96204","000","00000",,"P","M"
"APO","AP","96205","000","00000",,"P","M"
"APO","AP","96206","000","00000",,"P","M"
"APO","AP","96207","000","00000",,"P","M"
"APO","AP","96213","000","00000",,"P","M"
"APO","AP","96214","000","00000",,"P","M"
"APO","AP","96218","000","00000",,"P","M"
"APO","AP","96224","000","00000",,"P","M"
"APO","AP","96257","000","00000",,"P","M"
"APO","AP","96258","000","00000",,"P","M"
"APO","AP","96260","000","00000",,"P","M"
"APO","AP","96264","000","00000",,"P","M"
"APO","AP","96266","000","00000",,"P","M"
"APO","AP","96267","000","00000",,"P","M"
"APO","AP","96271","000","00000",,"P","M"
"APO","AP","96275","000","00000",,"P","M"
"APO","AP","96276","000","00000",,"P","M"
"APO","AP","96278","000","00000",,"P","M"
"APO","AP","96283","000","00000",,"P","M"
"APO","AP","96284","000","00000",,"P","M"
"APO","AP","96319","000","00000",,"P","M"
"APO","AP","96323","000","00000",,"P","M"
"APO","AP","96326","000","00000",,"P","M"
"APO","AP","96328","000","00000",,"P","M"
"APO","AP","96330","000","00000",,"P","M"
"APO","AP","96336","000","00000",,"P","M"
"APO","AP","96337","000","00000",,"P","M"
"APO","AP","96338","000","00000",,"P","M"
"APO","AP","96343","000","00000",,"P","M"
"APO","AP","96365","000","00000",,"P","M"
"APO","AP","96367","000","00000",,"P","M"
"APO","AP","96368","000","00000",,"P","M"
"APO","AP","96376","000","00000",,"P","M"
"APO","AP","96378","000","00000",,"P","M"
"APO","AP","96386","000","00000",,"P","M"
"APO","AP","96401","000","00000",,"P","M"
"APO","AP","96447","000","00000",,"P","M"
"APO","AP","96541","000","00000",,"P","M"
"APO","AP","96542","000","00000",,"A","M"
"APO","AP","96543","000","00000",,"A","M"
"APO","AP","96546","000","00000",,"P","M"
"APO","AP","96548","000","00000",,"P","M"
"APO","AP","96550","000","00000",,"P","M"
"APO","AP","96552","000","00000",,"P","M"
"APO","AP","96553","000","00000",,"P","M"
"APO","AP","96555","000","00000",,"P","M"
"APO","AP","96557","000","00000",,"P","M"
"APO","AP","96577","000","00000",,"P","M"
"Aaron","GA","30450","912","13031","Bulloch","N",
"Aaron","KY","42602","606","21053","Clinton","A",
"Aaronsburg","PA","16820","814","42027","Centre","P",
"Abbeville","AL","36310","334","01067","Henry","P",
"Abbeville","GA","31001","229","13315","Wilcox","P",
"Abbeville","LA","70510","337","22113","Vermilion","P",
"Abbeville","LA","70511","337","22113","Vermilion","P","P"
"Abbeville","MS","38601","662","28071","Lafayette","P",
"Abbeville","SC","29620","864","45001","Abbeville","P",
"Abbey Dell","IN","47469","812","18117","Orange","N",
"Abbot","ME","04406","207","23021","Piscataquis","P",
"Abbotsford","WI","54405","715","55019","Clark","P",
"Abbott","AR","72944","479","05131","Sebastian","N",
"Abbott","MS","39773","662","28025","Clay","N",
"Abbott","NM","87747","575","35007","Colfax","N",
"Abbott","PA","16922","814","42105","Potter","N",
"Abbott","TX","76621","254","48217","Hill","P",
"Abbott Park","IL","60064","847","17097","Lake","A",
"Abbottstown","PA","17301","717","42001","Adams","P",
"Abbyville","KS","67510","620","20155","Reno","P",
"Abegall","KY","41044","606","21161","Mason","N",
"Abel","AL","36258","256","01027","Clay","N",
"Abell","MD","20606","301","24037","Saint Marys","P",
"Abercrombie","ND","58001","701","38077","Richland","P","P"
"Aberdeen","AR","72134","870","05095","Monroe","N",
"Aberdeen","CA","93526","760","06027","Inyo","N",
"Aberdeen","ID","83210","208","16011","Bingham","P",
"Aberdeen","KY","42201","270","21031","Butler","P","P"
"Aberdeen","MD","21001","410","24025","Harford","P",
"Aberdeen","MS","39730","662","28095","Monroe","P",
"Aberdeen","NC","28315","910","37125","Moore","P",
"Aberdeen","NJ","07747","732","34025","Monmouth","A",
"Aberdeen","OH","45101","937","39015","Brown","P",
"Aberdeen","PA","17022","717","42071","Lancaster","N",
"Aberdeen","SD","57401","605","46013","Brown","P",
"Aberdeen","SD","57402","605","46013","Brown","P","P"
"Aberdeen","WA","98520","360","53027","Grays Harbor","P",
"Aberdeen Gardens","WA","98520","360","53027","Grays Harbor","N",
"Aberdeen Proving Ground","MD","21005","410","24025","Harford","P",
"Aberdeen Proving Ground","MD","21010","410","24025","Harford","A",
"Abernant","AL","35440","205","01125","Tuscaloosa","P","P"
"Abernathy","TX","79311","806","48189","Hale","P",
"Abeytas","NM","87006","505","35053","Socorro","N",
"Abie","NE","68001","402","31023","Butler","P","P"
"Abilene","KS","67410","785","20041","Dickinson","P",
"Abilene","TX","79601","325","48441","Taylor","P",
"Abilene","TX","79602","325","48441","Taylor","P",
"Abilene","TX","79603","325","48441","Taylor","P",
"Abilene","TX","79604","325","48441","Taylor","P","P"
"Abilene","TX","79605","325","48441","Taylor","P",
"Abilene","TX","79606","325","48441","Taylor","P",
"Abilene","TX","79607","325","48441","Taylor","A",
"Abilene","TX","79608","325","48441","Taylor","P","P"
"Abilene","TX","79697","325","48441","Taylor","P","U"
"Abilene","TX","79698","325","48441","Taylor","P","U"
"Abilene","TX","79699","325","48441","Taylor","P","U"
"Abingdon","IA","52533","641","19101","Jefferson","N",
"Abingdon","IL","61410","309","17095","Knox","P",
"Abingdon","MD","21009","410","24025","Harford","P",
"Abingdon","VA","24210","276","51191","Washington","P",
"Abingdon","VA","24211","276","51191","Washington","P",
"Abingdon","VA","24212","276","51191","Washington","P","P"
"Abington","CT","06230","860","09015","Windham","P","P"
"Abington","IN","47330","765","18177","Wayne","N",
"Abington","MA","02351","781","25023","Plymouth","P",
"Abington","PA","19001","215","42091","Montgomery","P",
"Abiquiu","NM","87510","575","35039","Rio Arriba","P",
"Abita Springs","LA","70420","985","22103","Saint Tammany","P",
"Abnaki","VT","05474","802","50013","Grand Isle","N",
"Abney","SC","29067","803","45057","Lancaster","N",
"Abraham","UT","84635","435","49027","Millard","A",
"Abraham","WV","25918","304","54081","Raleigh","A",
"Abraham Baldwin College","GA","31794","229","13277","Tift","A",
"Abram","TX","78572","956","48215","Hidalgo","N",
"Abrams","WI","54101","920","55083","Oconto","P",
"Absaraka","ND","58002","701","38017","Cass","P",
"Absarokee","MT","59001","406","30095","Stillwater","P",
"Absecon","NJ","08201","609","34001","Atlantic","P",
"Absecon","NJ","08205","609","34001","Atlantic","P",
"Absecon City","NJ","08201","609","34001","Atlantic","N",
"Absecon Heights","NJ","08201","609","34001","Atlantic","N",
"Absecon Highlands","NJ","08201","609","34001","Atlantic","N",
"Abshers","NC","28685","336","37193","Wilkes","N",
"Acacia Lake","TX","78520","956","48061","Cameron","N",
"Academia","PA","17082","717","42067","Juniata","N",
"Academy","NJ","07102","973","34013","Essex","N",
"Academy","SD","57369","605","46023","Charles Mix","A",
"Academy","TX","76554","254","48027","Bell","N",
"Acampo","CA","95220","209","06077","San Joaquin","P",
"Accident","MD","21520","301","24023","Garrett","P",
"Accokeek","MD","20607","301","24033","Prince Georges","P",
"Accomac","PA","17406","717","42133","York","N",
"Accomac","VA","23301","757","51001","Accomack","P",
"Accord","MA","02018","781","25023","Plymouth","P","P"
"Accord","NY","12404","845","36111","Ulster","P",
"Accoville","WV","25606","304","54045","Logan","P","P"
"Ace","TX","77326","936","48373","Polk","P","P"
"Acequia","ID","83350","208","16067","Minidoka","A",
"Achille","OK","74720","580","40013","Bryan","P","P"
"Achilles","VA","23001","804","51073","Gloucester","P","P"
"Ackerly","TX","79713","432","48317","Martin","P",
"Ackerman","MS","39735","662","28019","Choctaw","P",
"Ackermanville","PA","18010","610","42095","Northampton","P","P"
"Ackley","IA","50601","641","19083","Hardin","P",
"Ackworth","IA","50001","515","19181","Warren","P",
"Acmar","AL","35004","205","01115","Saint Clair","A",
"Acme","LA","71316","318","22029","Concordia","P",
"Acme","MI","49610","231","26055","Grand Traverse","P","P"
"Acme","NC","28456","910","37047","Columbus","N",
"Acme","PA","15610","724","42129","Westmoreland","P",
"Acme","WA","98220","360","53073","Whatcom","P",
"Acme","WY","82839","307","56033","Sheridan","A",
"Acoma","NM","87034","505","35061","Valencia","A","P"
"Acomita","NM","87034","505","35061","Valencia","N","P"
"Acorn","AR","71953","479","05113","Polk","N",
"Acorn","KY","42501","606","21199","Pulaski","A",
"Acornridge","MO","63960","573","29207","Stoddard","N",
"Acosta","PA","15520","814","42111","Somerset","P","P"
"Acra","NY","12405","518","36039","Greene","P",
"Acton","CA","93510","661","06037","Los Angeles","P",
"Acton","IN","46259","317","18097","Marion","A",
"Acton","MA","01718","978","25017","Middlesex","A",
"Acton","MA","01719","978","25017","Middlesex","A",
"Acton","MA","01720","978","25017","Middlesex","P",
"Acton","ME","04001","207","23031","York","P",
"Acton","MT","59002","406","30111","Yellowstone","P",
"Acton","TX","76049","817","48221","Hood","A",
"Acushnet","MA","02743","508","25005","Bristol","P",
"Acushnet","MA","02745","508","25005","Bristol","A",
"Acworth","GA","30101","770","13067","Cobb","P",
"Acworth","GA","30102","770","13057","Cherokee","P",
"Acworth","NH","03601","603","33019","Sullivan","P",
"Ada","KS","67467","785","20143","Ottawa","A",
"Ada","MI","49301","616","26081","Kent","P",
"Ada","MI","49355","616","26081","Kent","P","U"
"Ada","MI","49356","616","26081","Kent","P","U"
"Ada","MI","49357","616","26081","Kent","P","U"
"Ada","MN","56510","218","27107","Norman","P",
"Ada","OH","45810","419","39065","Hardin","P",
"Ada","OK","74820","580","40123","Pontotoc","P",
"Ada","OK","74821","580","40123","Pontotoc","P","P"
"Ada","SD","57620","605","46105","Perkins","N",
"Ada","WV","24701","304","54055","Mercer","N",
"Adah","PA","15410","724","42051","Fayette","P",
"Adair","IA","50002","641","19001","Adair","P",
"Adair","IL","61411","309","17109","McDonough","P",
"Adair","MO","63533","660","29001","Adair","N",
"Adair","OK","74330","918","40097","Mayes","P",
"Adair Village","OR","97330","541","41003","Benton","A",
"Adairo","OH","44878","419","39139","Richland","N",
"Adairsville","GA","30103","770","13015","Bartow","P",
"Adairville","KY","42202","270","21141","Logan","P",
"Adak","AK","99546","907","02016","Aleutians West","P","P"
"Adak","AK","99571","907","02013","Aleutians East","A","P"
"Adamant","VT","05640","802","50023","Washington","P",
"Adams","IL","62347","217","17001","Adams","N",
"Adams","IN","47240","812","18031","Decatur","N",
"Adams","KY","41201","606","21127","Lawrence","P",
"Adams","MA","01220","413","25003","Berkshire","P",
"Adams","MN","55909","507","27099","Mower","P",
"Adams","NC","28607","828","37189","Watauga","N",
"Adams","ND","58210","701","38099","Walsh","P",
"Adams","NE","68301","402","31067","Gage","P",
"Adams","NY","13605","315","36045","Jefferson","P",
