ApplNo	ProductNo	TECode	TESequence	ProductMktStatus
016796	001	AP	1	1
016801	001	AP	1	1
016801	002	AP	1	1
016801	003	AP	1	1
016801	004	AP	1	1
016801	005	AP	1	1
016812	001	AP	1	1
016812	002	AP	1	1
016812	003	AP	1	1
016831	001	AT	1	1
016831	002	AT	1	1
016831	003	AB	1	1
016921	001	AT	1	1
016954	001	AB2	1	1
016964	001	AP	1	1
016964	004	AP	1	1
016964	005	AP	1	1
016964	006	AP	1	1
016964	007	AP	1	1
016964	008	AP	1	1
016964	009	AP	1	1
016964	010	AP	1	1
016964	012	AP	1	1
016964	013	AP	1	1
017001	001	AB	1	1
017001	002	AB	1	1
017010	001	AB	1	1
017011	001	AB	1	1
017016	007	AP	1	1
017029	001	AP	1	1
017029	003	AP	1	1
017029	004	AP	1	1
017029	010	AP	1	1
017029	013	AP	1	1
017029	014	AP	1	1
017029	015	AP	1	1
017029	016	AP	1	1
017037	001	AP	1	1
017037	002	AP	1	1
017037	003	AP	1	1
017058	001	AA	1	1
017060	001	AB1	1	1
017067	002	AP	1	1
017078	001	AB	1	1
017078	002	AB	1	1
017078	003	AB	1	1
017087	001	AN	1	1
017090	001	AB	1	1
017090	002	AB	1	1
017090	003	AB	1	1
017090	004	AB	1	1
017105	006	AB	1	1
017105	007	AB	1	1
017105	008	AB	1	1
017116	002	AA	1	1
017284	002	AA	1	1
017340	001	AB	1	1
017354	001	AB	1	1
017355	001	AB	1	1
017362	002	AO	1	1
017376	001	AB	1	1
017376	002	AB	1	1
017377	001	AB	1	1
017377	002	AB	1	1
017378	001	AP	1	1
017378	002	AP	1	1
017381	001	AB	1	1
017386	001	AB	1	1
017386	002	AB	1	1
017386	003	AB	1	1
017398	001	AP	1	1
017407	001	AB	1	1
017407	002	AB	1	1
017407	003	AB	1	1
017426	001	AB	1	1
017427	001	AT	1	1
017428	001	AT	1	1
017433	001	AT	1	1
017433	002	AT	1	1
017441	001	BP	1	1
017442	001	AB	1	1
017442	002	AB	1	1
017442	003	AB	1	1
017443	001	AB	1	1
017443	002	AB	1	1
017443	003	AB	1	1
017447	001	AB	1	1
017447	002	AB	1	1
017464	001	AP	1	1
017469	001	AB	1	1
017478	001	BS	1	1
017512	001	AT	1	1
017512	002	AT	1	1
017512	003	AT	1	1
017512	004	AT	1	1
017512	005	AT	1	1
017512	006	AT	1	1
017512	007	AT	1	1
017512	008	AT	1	1
017512	009	AT	1	1
017512	010	AT	1	1
017512	011	AT	1	1
017513	001	AT	1	1
017514	001	AT	1	1
017521	001	AP	1	1
017521	002	AP	1	1
017521	003	AP	1	1
017521	004	AP	1	1
017521	005	AP	1	1
017521	006	AP	1	1
017522	001	AB1	1	1
017530	001	AP	1	1
017531	006	AB	1	1
017532	001	BX	1	1
017532	002	BX	1	1
017532	003	BX	1	1
017533	001	AB	1	1
017533	002	AB	1	1
017533	003	AB	1	1
017534	005	AA	1	1
017538	001	AP	1	1
017549	001	AP	1	1
017555	001	AB	1	1
017555	002	AB	1	1
017555	003	AB	1	1
017558	001	AP	1	1
017563	003	AB	1	1
017563	004	AB	1	1
017565	001	AB	1	1
017565	002	AB	1	1
017575	001	AP	1	1
017575	002	AP	1	1
017579	002	AB	1	1
017581	002	AB	1	1
017581	003	AB	1	1
017581	004	AB	1	1
017584	001	AP	1	1
017584	002	AP	1	1
017585	001	AP	1	1
017607	001	AP	1	1
017608	001	AP	1	1
017624	001	AN	1	1
017634	001	AP	1	1
017634	002	AP	1	1
017634	003	AP	1	1
017634	004	AP	1	1
017635	001	AT	1	1
017641	001	AP	1	1
017643	001	AP	1	1
017648	001	AP	1	1
017648	002	AP	1	1
017648	005	AP	1	1
017651	006	AP	1	1
017656	001	AT	1	1
017681	001	AB	1	1
017692	001	AP	1	1
017694	001	AB	1	1
017702	001	AP	1	1
017714	001	AP	1	1
017716	001	AB	1	1
017735	001	AB	1	1
017743	001	AB	1	1
017776	001	BS	1	1
017783	001	AB	1	1
017783	002	AB	1	1
017788	001	AT	1	1
017794	001	AB	1	1
017794	002	AB	1	1
017794	003	AB	1	1
017802	001	AB	1	1
017806	001	AP	1	1
017806	002	AP	1	1
017807	001	BP	1	1
017812	001	AB	1	1
017812	002	AB	1	1
017812	003	AB	1	1
017831	001	AB	1	1
017831	002	AB	1	1
017854	001	AB	1	1
017854	002	AB	1	1
017857	001	AP	1	1
017857	002	AP	1	1
017857	004	AP	1	1
017862	001	AP	1	1
017865	001	AT	1	1
017866	001	AT	1	1
017867	001	AT	1	1
017875	001	AB	1	1
017876	001	AB	1	1
017881	001	BS	1	1
017892	001	AB	1	1
017892	003	AB	1	1
017911	002	AB	1	1
017919	002	AB	1	1
017920	002	AB	1	1
017920	003	AB	1	1
017920	004	AB	1	1
017920	005	AB	1	1
017922	001	AB	1	1
017922	003	AB	1	1
017955	001	AB	1	1
017962	001	AB	1	1
017962	002	AB	1	1
017963	001	AB	1	1
017963	002	AB	1	1
017993	001	AB	1	1
018008	004	AP	1	1
018008	005	AP	1	1
018008	006	AP	1	1
018008	007	AP	1	1
018008	008	AP	1	1
018008	009	AP	1	1
018008	010	AP	1	1
018013	001	AB	1	1
018013	002	AB	1	1
018013	003	AB	1	1
018013	004	AB	1	1
018016	001	AP	1	1
018027	001	AB	1	1
018029	001	AB	1	1
018031	001	AB	1	1
018037	001	AP	1	1
018037	002	AP	1	1
018037	003	AP	1	1
018037	004	AP	1	1
018037	005	AP	1	1
018037	006	AP	1	1
018037	007	AP	1	1
018037	008	AP	1	1
018037	009	AP	1	1
018044	001	AB	1	1
018044	002	AB	1	1
018053	001	AP	1	1
018053	002	AP	1	1
018053	003	AP	1	1
018058	001	BS	1	1
018063	001	AB	1	1
018063	002	AB	1	1
018063	005	AB	1	1
018074	001	BC	1	1
018080	001	AP	1	1
018081	001	AB	1	1
018082	001	AA	1	1
018086	001	AT	1	1
018086	002	AT	1	1
018090	001	AP	1	1
018107	001	AP	1	1
018110	002	AP	1	1
018124	001	AP	1	1
018132	001	AP	1	1
018132	002	AP	1	1
018132	003	AP	1	1
018132	004	AP	1	1
018140	001	AP	1	1
018140	002	AP	1	1
018147	002	AB	1	1
018147	003	AB	1	1
018150	001	AP	1	1
018155	001	AT	1	1
018156	001	AT	1	1
018161	001	AT	1	1
018163	001	AB	1	1
018163	002	AB	1	1
018163	003	AB	1	1
018163	004	AB	1	1
018164	001	AB	1	1
018164	003	AB	1	1
018181	001	AT	1	1
018200	001	AB	1	1
018227	001	AP	1	1
018233	001	AP	1	1
018238	001	AB	1	1
018238	002	AB	1	1
018239	001	AT	1	1
018240	001	AB	1	1
018240	002	AB	1	1
018240	004	AB	1	1
018243	001	AP	1	1
018243	002	AP	1	1
018248	001	AP	1	1
018248	002	AP	1	1
018251	001	AP	1	1
018254	001	AP	1	1
018261	001	AP	1	1
018261	002	AP	1	1
018264	001	AP	1	1
018276	001	AB	1	1
018276	002	AB	1	1
018276	003	AB	1	1
018276	004	AB	1	1
018279	001	BC	1	1
018279	002	BC	1	1
018281	001	AB	1	1
018299	001	AT	1	1
018303	001	AB	1	1
018303	002	AB	1	1
018304	001	AP	1	1
018304	002	AP	1	1
018304	003	AP	1	1
018304	004	AP	1	1
018304	005	AP	1	1
018310	001	AP	1	1
018313	001	AT	1	1
018314	001	AT	1	1
018315	001	AT	1	1
018333	001	AB	1	1
018336	001	AT	1	1
018343	001	AB	1	1
018343	002	AB	1	1
018343	003	AB	1	1
018343	005	AB	1	1
018353	002	AP	1	1
018361	001	AB	1	1
018362	002	AP	1	1
018362	003	AP	1	1
018362	004	AP	1	1
018362	005	AP	1	1
018362	006	AP	1	1
018362	007	AP	1	1
018362	008	AP	1	1
018362	009	AP	1	1
018362	010	AP	1	1
018371	003	AP	1	1
018379	001	AT	1	1
018379	002	AT	1	1
018379	003	AT	1	1
018379	004	AT	1	1
018379	005	AT	1	1
018379	006	AT	1	1
018379	007	AT	1	1
018379	008	AT	1	1
018388	002	AP	1	1
018388	003	AP	1	1
018401	001	AP	1	1
018405	001	AB	1	1
018413	001	AB	1	1
018413	002	AB	1	1
018421	001	AA	1	1
018422	003	AB	1	1
018449	001	AP	1	1
018461	002	AP	1	1
018461	003	AP	1	1
018461	004	AP	1	1
018469	001	AT	1	1
018482	001	AB	1	1
018484	001	AP	1	1
018487	001	AB	1	1
018487	002	AB	1	1
018494	001	AT	1	1
018495	001	AT	1	1
018508	001	AT	1	1
018511	001	AP	1	1
018514	001	AB	1	1
018523	001	AT	1	1
018531	001	AP	1	1
018533	001	AB	1	1
018553	001	AB	1	1
018553	002	AB	1	1
018553	003	AB	1	1
018553	004	AB	1	1
018558	001	AB	1	1
018561	001	AP	1	1
018562	001	AP	1	1
018563	001	AP	1	1
018564	001	AP	1	1
018565	001	AP	1	1
018565	002	AP	1	1
018569	001	AB	1	1
018569	002	AB	1	1
018569	005	AB	1	1
018578	001	AB	1	1
018578	003	BX	1	1
018579	001	AP	1	1
018598	004	AB	1	1
018602	001	AB	1	1
018602	002	AB	1	1
018602	003	AB	1	1
018602	004	AB	1	1
018604	001	AB	1	1
018608	001	AT	1	1
018609	001	AP	1	1
018609	002	AP	1	1
018613	001	AT	1	1
018615	001	AB	1	1
018629	001	AP	1	1
018629	002	AP	1	1
018629	003	AP	1	1
018629	004	AP	1	1
018629	005	AP	1	1
018629	006	AP	1	1
018629	007	AP	1	1
018629	008	AP	1	1
018631	001	AB	1	1
018632	001	AP	1	1
018632	002	AP	1	1
018642	001	AB	1	1
018644	002	AB	1	1
018644	003	AB	1	1
018647	001	AB	1	1
018647	002	AB	1	1
018651	001	AB	1	1
018651	002	AB	1	1
018651	003	AB	1	1
018652	001	AB	1	1
018655	002	AB	1	1
018657	001	AP	1	1
018659	001	AB	1	1
018659	002	AB	1	1
018667	001	AP	1	1
018671	001	AA	1	1
018671	002	AA	1	1
018679	001	AB	1	1
018681	001	AT	1	1
018692	001	AP	1	1
018701	001	AO	1	1
018701	002	AO	1	1
018702	001	AB	1	1
018703	001	AB	1	1
018703	002	AB	1	1
018704	001	AP	1	1
018707	001	AB	1	1
018709	001	AB	1	1
018709	002	AB	1	1
018709	003	AB	1	1
018709	004	AB	1	1
018723	001	AB	1	1
018723	002	AB	1	1
018723	003	AB	1	1
018735	002	AP	1	1
018735	003	AP	1	1
018735	006	AP	1	1
018735	007	AP	1	1
018741	001	AB	1	1
018744	001	AP	1	1
018744	002	AP	1	1
018744	004	AP	1	1
018748	001	AB	1	1
018760	001	AB	1	1
018760	002	AB	1	1
018764	001	AB	1	1
018764	002	AB	1	1
018766	002	AB	1	1
018766	003	AB	1	1
018782	001	AB	1	1
018800	001	AP	1	1
018801	001	AP	1	1
018802	001	AP	1	1
018803	001	AP	1	1
018810	001	AB	1	1
018817	001	AB	1	1
018817	002	AB	1	1
018817	003	AB	1	1
018823	001	AB	1	1
018823	002	AB	1	1
018826	001	AP	1	1
018826	002	AP	1	1
018826	003	AP	1	1
018827	001	AB	1	1
018828	001	AB	1	1
018830	001	AB	1	1
018830	003	AB	1	1
018830	004	AB	1	1
018832	002	AB	1	1
018841	004	AB	1	1
018851	001	AB	1	1
018851	002	AB	1	1
018858	001	AB	1	1
018861	001	AB	1	1
018865	001	AB	1	1
018866	001	AB	1	1
018874	001	AP	1	1
018874	002	AP	1	1
018877	001	AB	1	1
018878	001	AP	1	1
018883	001	AT	1	1
018883	002	AT	1	1
018883	003	AT	1	1
018883	004	AT	1	1
018883	005	AT	1	1
018883	006	AT	1	1
018888	001	AB	1	1
018890	002	AP	1	1
018891	001	AB	1	1
018891	002	AB	1	1
018891	003	AB	1	1
018900	001	AP	1	1
018902	001	AP	1	1
018916	010	AP	1	1
018916	011	AP	1	1
018917	001	AB	1	1
018917	003	AB	1	1
018921	001	AT	1	1
018927	001	AB	1	1
018932	001	AB	1	1
018936	001	AB1	1	1
018936	003	AB	1	1
018936	006	AB1	1	1
018936	007	AB2	1	1
018936	008	AB2	1	1
018938	001	AP	1	1
018948	001	AB	1	1
018963	001	AP	1	1
018965	001	AB	1	1
018969	001	AP	1	1
018970	001	AP	1	1
018972	001	AB	1	1
018977	002	AB	1	1
018983	007	AA	1	1
018983	008	AA	1	1
018983	009	AA	1	1
018983	010	AA	1	1
018983	012	AA	1	1
018985	002	AB	1	1
018988	001	AT	1	1
018998	001	AB	1	1
018998	002	AB	1	1
018998	003	AB	1	1
018998	005	AB	1	1
019011	001	AA	1	1
019028	001	AT	1	1
019032	001	AB	1	1
019032	002	AB	1	1
019034	001	AP	1	1
019034	003	AP	1	1
019034	004	AP	1	1
019034	005	AP	1	1
019039	001	AP	1	1
019048	001	AB	1	1
019049	001	AB	1	1
019050	001	AP	1	1
019071	001	AB	1	1
019071	002	AB	1	1
019081	002	BX	1	1
019081	003	BX	1	1
019090	001	AP	1	1
019099	002	AP	1	1
019099	003	AP	1	1
019099	004	AP	1	1
019101	001	AP	1	1
019111	001	AB	1	1
019115	001	AP	1	1
019116	001	AT	1	1
019117	001	AB1	1	1
019123	001	BC	1	1
019123	002	BC	1	1
019129	001	AB	1	1
019129	003	AB	1	1
019137	001	AB	1	1
019141	001	AB	1	1
019151	001	AB	1	1
019151	002	AB	1	1
019151	003	AB	1	1
019152	001	AB	1	1
019152	002	AB	1	1
019152	003	AB	1	1
019155	001	AB	1	1
019157	001	AA	1	1
019211	001	AP	1	1
019211	003	AP	1	1
019211	006	AP	1	1
019211	007	AP	1	1
019217	001	AP	1	1
019219	002	AT	1	1
019221	001	AB	1	1
019221	003	AB	1	1
019222	001	AP	1	1
019257	001	AA	1	1
019257	002	AA	1	1
019264	001	AP	1	1
019268	001	AB	1	1
019268	003	AB	1	1
019270	001	AT	1	1
019281	001	AP	1	1
019292	001	AP	1	1
019308	001	AP	1	1
019308	002	AP	1	1
019308	003	AP	1	1
019308	004	AP	1	1
019308	005	AP	1	1
019308	006	AP	1	1
019308	007	AP	1	1
019316	001	AP	1	1
019322	001	AB1	1	1
019323	001	AB	1	1
019339	002	AP	1	1
019339	003	AP	1	1
019339	004	AP	1	1
019345	001	AP	1	1
019353	001	AP	1	1
019367	004	AP	1	1
019367	005	AP	1	1
019367	006	AP	1	1
019367	007	AP	1	1
019367	008	AP	1	1
019386	006	AP	1	1
019404	001	AT	1	1
019416	001	AT	1	1
019429	003	AB	1	1
019430	001	BX	1	1
019430	002	BX	1	1
019445	001	AP	1	1
019452	001	AT	1	1
019452	002	AT	1	1
019452	003	AT	1	1
019462	001	AB	1	1
019462	002	AB	1	1
019465	001	AP	1	1
019465	002	AP	1	1
019466	001	AP	1	1
019479	001	AP	1	1
019480	001	AP	1	1
019488	001	AB	1	1
019488	002	AB	1	1
019516	001	AB	1	1
019516	002	AB	1	1
019516	003	AB	1	1
019516	004	AB	1	1
019516	005	AB	1	1
019527	001	AB	1	1
019531	001	AP	1	1
019531	002	AP	1	1
019537	001	AB	1	1
019537	002	AB	1	1
019537	003	AB	1	1
019537	004	AB	1	1
019543	001	AB	1	1
019555	001	AB	1	1
019558	001	AB	1	1
019558	002	AB	1	1
019558	003	AB	1	1
019558	004	AB	1	1
019568	001	AB	1	1
019579	001	AB	1	1
019594	002	AB	1	1
019603	001	AP	1	1
019603	002	AP	1	1
019603	003	AP	1	1
019603	004	AP	1	1
019614	001	AB	1	1
019614	002	AB	1	1
019614	003	AB	1	1
019615	001	AP	1	1
019615	002	AP	1	1
019615	003	AP	1	1
019618	001	AB	1	1
019618	002	AB	1	1
019625	001	AB	1	1
019625	002	AB	1	1
019626	002	AP	1	1
019626	004	AP	1	1
019627	002	AB	1	1
019630	008	AP	1	1
019630	010	AP	1	1
019630	012	AP	1	1
019630	014	AP	1	1
019630	016	AP	1	1
019630	018	AP	1	1
019630	020	AP	1	1
019630	022	AP	1	1
019630	024	AP	1	1
019630	026	AP	1	1
019630	028	AP	1	1
019630	030	AP	1	1
019631	004	AP	1	1
019631	007	AP	1	1
019631	008	AP	1	1
019631	009	AP	1	1
019631	010	AP	1	1
019631	015	AP	1	1
019632	001	AP	1	1
019633	001	AP	1	1
019634	003	AP	1	1
019635	001	AP	1	1
019635	002	AP	1	1
019640	004	BX	1	1
019640	005	BX	1	1
019641	001	AB	1	1
019649	001	AB	1	1
019653	002	AB	1	1
019655	001	AB	1	1
019661	001	AP	1	1
019667	001	AP	1	1
019667	002	AP	1	1
019667	003	AP	1	1
019667	004	AP	1	1
019667	005	AP	1	1
019668	001	AB	1	1
019668	002	AB	1	1
019668	003	AB	1	1
019668	004	AB	1	1
019675	001	AA	1	1
019680	001	AB	1	1
019684	001	AB2	1	1
019684	002	AB2	1	1
019684	003	AB2	1	1
019685	002	AP	1	1
019685	004	AP	1	1
019685	008	AP	1	1
019686	001	AP	1	1
019686	002	AP	1	1
019691	001	AP	1	1
019691	002	AP	1	1
019691	003	AP	1	1
019691	004	AP	1	1
019691	005	AP	1	1
019691	006	AP	1	1
019691	007	AP	1	1
019691	008	AP	1	1
019691	009	AP	1	1
019697	001	AB	1	1
019699	004	AP	1	1
019699	006	AP	1	1
019700	001	AT	1	1
019708	004	AP	1	1
019716	001	AB	1	1
019734	001	AP	1	1
019737	001	AB	1	1
019758	001	AB	1	1
019758	002	AB	1	1
019759	001	AP	1	1
019763	001	AP	1	1
019763	002	AP	1	1
019764	002	BX	1	1
019766	001	AB	1	1
019766	002	AB	1	1
019766	003	AB	1	1
019766	004	AB	1	1
019766	005	AB	1	1
019774	002	BX	1	1
019777	001	AB	1	1
019777	002	AB	1	1
019777	003	AB	1	1
019777	004	AB	1	1
019777	005	AB	1	1
019777	006	AB	1	1
019778	001	AB	1	1
019778	003	AB	1	1
019781	001	AB	1	1
019781	002	AB	1	1
019785	001	AP	1	1
019787	001	AB	1	1
019787	002	AB	1	1
019787	003	AB	1	1
019795	001	AT	1	1
019796	001	AB	1	1
019797	001	AA	1	1
019797	002	AA	1	1
019805	001	AP	1	1
019805	002	AP	1	1
019810	001	AB	1	1
019810	002	AB	1	1
019810	003	AB	1	1
019813	001	AB	1	1
019813	002	AB	1	1
019813	003	AB	1	1
019813	004	AB	1	1
019813	005	AB	1	1
019814	001	AT	1	1
019821	001	AB	1	1
019821	002	AB	1	1
019821	003	AB	1	1
019821	004	AB	1	1
019824	001	AB	1	1
019826	001	AP	1	1
019826	002	AP	1	1
019826	003	AP	1	1
019826	006	AP	1	1
019830	002	AP	1	1
019830	003	AP	1	1
019830	004	AP	1	1
019832	003	AB	1	1
019834	001	AB	1	1
019834	002	AB	1	1
019834	004	AB	1	1
019839	001	AB	1	1
019839	002	AB	1	1
019839	005	AB	1	1
019847	001	AP	1	1
019847	002	AP	1	1
019851	001	AB	1	1
019851	002	AB	1	1
019851	003	AB	1	1
019851	004	AB	1	1
019855	001	AB	1	1
019856	001	AB	1	1
019856	002	AB	1	1
019857	001	AP	1	1
019857	002	AP	1	1
019865	001	AB1	1	1
019865	002	AB1	1	1
019865	003	AB1	1	1
019865	005	AB1	1	1
019869	001	AP	1	1
019884	001	AP	1	1
019885	001	AB	1	1
019885	002	AB	1	1
019885	003	AB	1	1
019885	004	AB	1	1
019888	001	AB	1	1
019888	002	AB	1	1
019888	003	AB	1	1
019891	001	AA	1	1
019892	001	AB	1	1
019892	002	AB	1	1
019892	003	AB	1	1
019893	001	AP	1	1
019894	001	AP	1	1
019898	002	AB	1	1
019898	003	AB	1	1
019898	004	AB	1	1
019898	008	AB	1	1
019901	001	AB	1	1
019901	002	AB	1	1
019901	003	AB	1	1
019901	004	AB	1	1
019904	001	AP	1	1
019904	002	AP	1	1
019904	003	AP	1	1
019904	004	AP	1	1
019904	005	AP	1	1
019904	006	AP	1	1
019906	001	AB	1	1
019906	002	AB	1	1
019906	003	AB	1	1
019907	001	AT	1	1
019908	001	AB	1	1
019908	002	AB	1	1
019909	001	AB	1	1
019910	001	AA	1	1
019916	001	AP	1	1
019921	001	AT	1	1
019922	001	AP	1	1
019927	001	AB	1	1
019931	001	AB	1	1
019933	001	AT	1	1
019937	002	AP	1	1
019941	001	AB	1	1
019942	001	AP	1	1
019949	001	AB	1	1
019949	002	AB	1	1
019949	003	AB	1	1
019949	004	AB	1	1
019950	001	AP	1	1
019950	002	AP	1	1
019950	003	AP	1	1
019950	004	AP	1	1
019950	005	AP	1	1
019950	006	AP	1	1
019951	001	AP	1	1
019952	001	AP	1	1
019952	004	AP	1	1
019952	005	AP	1	1
019953	001	AP	1	1
019955	001	AB	1	1
019955	002	AB	1	1
019957	001	AB	1	1
019958	001	AB	1	1
019962	001	AB	1	1
019962	002	AB	1	1
019962	003	AB	1	1
019962	004	AB	1	1
019963	001	AB2	1	1
019964	001	AB	1	1
019966	001	AT	1	1
019967	001	AB	1	1
019968	001	AB	1	1
019970	001	AP	1	1
019970	002	AP	1	1
019970	003	AP	1	1
019972	001	AT	1	1
019982	001	AB	1	1
019982	002	AB	1	1
019992	001	AT	1	1
020000	001	AP	1	1
020002	001	AP	1	1
020004	001	AP	1	1
020006	001	AP	1	1
020006	002	AP	1	1
020006	003	AP	1	1
020006	004	AP	1	1
020007	001	AP	1	1
020007	003	AP	1	1
020010	001	AB	1	1
020031	001	AB	1	1
020031	002	AB	1	1
020031	003	AB	1	1
020031	005	AB	1	1
020033	001	AB	1	1
020033	002	AB	1	1
020033	003	AB	1	1
020033	004	AB	1	1
020037	001	AT	1	1
020047	001	AP	1	1
020047	003	AP	1	1
